Date,Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes,SCA1Player,SCA1Event,SCA2Player,SCAEvent
03-07-2025,2,Esther Gonz?lez,Spain,0.35,0.35,Goal,8,Right Foot,,Olga Carmona,Pass (Live),Laia Aleixandri,Pass (Live)
03-07-2025,7,Vicky Lopez,Spain,0.73,0.96,Goal,4,Right Foot,,Mariona Caldentey,Pass (Live),Ona Batlle,Pass (Live)
03-07-2025,16,Esther Gonz?lez,Spain,0.17,0.71,Saved,10,Right Foot,,Esther Gonz?lez,Interception,,
03-07-2025,18,Claudia Pina,Spain,0.12,0.15,Saved,16,Right Foot,,Alexia Putellas,Pass (Live),Patricia Guijarro,Pass (Live)
03-07-2025,19,Esther Gonz?lez,Spain,0.14,0,Blocked,15,Left Foot,,Laia Aleixandri,Pass (Live),Adriana Nanclares,Pass (Live)
03-07-2025,21,Alexia Putellas,Spain,0.09,0,Off Target,17,Left Foot,,Vicky Lopez,Pass (Live),Vicky Lopez,Take-On
03-07-2025,24,Vicky Lopez,Spain,0.03,0,Off Target,25,Right Foot,,Claudia Pina,Pass (Live),Olga Carmona,Pass (Live)
03-07-2025,27,Carole Costa,Portugal,0.03,0,Off Target,12,Head,,Catarina Amado,Pass (Live),Andreia Jacinto,Pass (Dead)
03-07-2025,27,Beatriz Fonseca,Portugal,0.03,0,Blocked,18,Right Foot,,Andreia Jacinto,Pass (Live),Beatriz Fonseca,Pass (Live)
03-07-2025,29,Esther Gonz?lez,Spain,0.14,0,Blocked,4,Left Foot,,Alexia Putellas,Pass (Live),Olga Carmona,Pass (Live)
03-07-2025,35,Claudia Pina,Spain,0.15,0.11,Saved,12,Right Foot,,Vicky Lopez,Pass (Live),Alexia Putellas,Pass (Live)
03-07-2025,41,Alexia Putellas,Spain,0.19,0.54,Goal,9,Left Foot,,Alexia Putellas,Take-On,Mariona Caldentey,Pass (Live)
03-07-2025,43,Esther Gonz?lez,Spain,0.06,0,Blocked,16,Left Foot,,Esther Gonz?lez,Take-On,Alexia Putellas,Pass (Live)
03-07-2025,43,Esther Gonz?lez,Spain,0.91,0.98,Goal,2,Left Foot,,Claudia Pina,Take-On,Vicky Lopez,Pass (Live)
03-07-2025,47,Alexia Putellas,Spain,0.07,0,Off Target,10,Right Foot,,Ona Batlle,Pass (Live),Athenea del Castillo,Pass (Live)
03-07-2025,49,Jessica Silva,Portugal,0.04,0,Off Target,38,Right Foot,,Diana Gomes,Pass (Live),,
03-07-2025,59,Olga Carmona,Spain,0.03,0,Off Target,31,Left Foot,,Vicky Lopez,Pass (Live),Ona Batlle,Pass (Live)
03-07-2025,61,Mariona Caldentey,Spain,0.06,0,Blocked,18,Left Foot,,Alexia Putellas,Pass (Live),Olga Carmona,Pass (Live)
03-07-2025,61,Alexia Putellas,Spain,0.1,0,Off Target,11,Left Foot,Volley,,,,
03-07-2025,65,Andreia Norton,Portugal,0.03,0,Blocked,31,Right Foot,,Ana Borges,Pass (Live),Diana Silva,Pass (Live)
03-07-2025,75,Ana Capeta,Portugal,0.05,0,Off Target,11,Right Foot,,Catarina Amado,Pass (Live),Dolores Silva,Pass (Live)
03-07-2025,80,Jana Fernandez,Spain,0.03,0,Off Target,32,Right Foot,,Alexia Putellas,Pass (Live),Patricia Guijarro,Pass (Live)
03-07-2025,85,Patricia Guijarro,Spain,0.04,0,Off Target,24,Left Foot,,Patricia Guijarro,Take-On,Alexia Putellas,Pass (Live)
03-07-2025,86,Cristina Mart?n-Prieto,Spain,0.39,0.26,Saved,9,Right Foot,,Aitana Bonmat?,Pass (Live),,
03-07-2025,87,Olga Carmona,Spain,0.04,0,Off Target,22,Left Foot,,Olga Carmona,Pass (Live),Salma Paralluelo,Pass (Live)
03-07-2025,89,Ana Capeta,Portugal,0.02,0,Blocked,18,Right Foot,,Ana Borges,Pass (Live),Carole Costa,Pass (Dead)
03-07-2025,90,Andreia Faria,Portugal,0.08,0.15,Saved,15,Right Foot,Volley,Ana Capeta,Shot,,
03-07-2025,90+1,Salma Paralluelo,Spain,0.03,0,Blocked,25,Right Foot,,Alexia Putellas,Pass (Live),Laia Aleixandri,Pass (Live)
03-07-2025,90+3,Cristina Mart?n-Prieto,Spain,0.43,0.79,Goal,5,Head,,Salma Paralluelo,Pass (Live),Olga Carmona,Pass (Live)
07-07-2025,2,Vicky Lopez,Spain,0.03,0,Off Target,25,Right Foot,,Ona Batlle,Pass (Live),her Gonz?lez,Pass (Live)
07-07-2025,5,Mariam Toloba,Belgium,0.07,0,Off Target,21,Left Foot,,Hannah Eurlings,Pass (Live),Jarne Teulings,Pass (Live)
07-07-2025,9,Claudia Pina,Spain,0.08,0,Blocked,17,Right Foot,,Patricia Guijarro,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,11,Olga Carmona,Spain,0.03,0,Off Target,33,Left Foot,,Mariona Caldentey,Pass (Live),her Gonz?lez,Pass (Live)
07-07-2025,19,Olga Carmona,Spain,0.01,0,Off Target,30,Left Foot,,Laia Aleixandri,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,21,Vicky Lopez,Spain,0.03,0,Blocked,24,Right Foot,,Irene Paredes,Pass (Live),Laia Aleixandri,Pass (Live)
07-07-2025,22,Alexia Putellas,Spain,0.06,0.39,Goal,13,Left Foot,,Vicky LFpez,Pass (Live),Patricia Guijarro,Pass (Live)
07-07-2025,24,Justine Vanhaevermaet,Belgium,0.26,0.84,Goal,3,Head,,Ta Wullaert,Pass (Dead),Hannah Eurlings,Pass (Dead)
07-07-2025,27,her Gonzalez,Spain,0.07,0,Off Target,10,Head,,Ona Batlle,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,31,her Gonzalez,Spain,0.04,0,Blocked,22,Right Foot,,Alexia Putellas,Tackle,,
07-07-2025,32,Irene Paredes,Spain,0.1,0,Off Target,9,Right Foot,Volley,Claudia Pina,Pass (Dead),her Gonz?lez,Shot
07-07-2025,35,Claudia Pina,Spain,0.02,0,Blocked,29,Right Foot,,Claudia Pina,Tackle,,
07-07-2025,39,Irene Paredes,Spain,0.05,0.33,Goal,10,Head,,Claudia Pina,Pass (Dead),Claudia Pina,Pass (Live)
07-07-2025,44,Alexia Putellas,Spain,0.09,0,Blocked,17,Left Foot,,Patricia Guijarro,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,49,Aitana Bonmat?,Spain,0.05,0,Off Target,23,Left Foot,,Mariona Caldentey,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,50,Hannah Eurlings,Belgium,0.68,0.72,Goal,15,Right Foot,,Ta Wullaert,Pass (Live),Jarne Teulings,Pass (Live)
07-07-2025,52,her Gonzalez,Spain,0.35,0.55,Goal,11,Right Foot,,Alexia Putellas,Pass (Live),Aitana Bonmat?,Pass (Live)
07-07-2025,61,her Gonzalez,Spain,0.45,0,Blocked,4,Left Foot,Volley,Irene Paredes,Pass (Live),Claudia Pina,Pass (Dead)
07-07-2025,61,Mariona Caldentey,Spain,0.08,0.78,Goal,9,Right Foot,,her Gonzalez,Shot,,
07-07-2025,63,Claudia Pina,Spain,0.14,0.26,Saved,6,Right Foot,,her Gonzalez,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,63,Alexia Putellas,Spain,0.1,0,Blocked,8,Right Foot,,Claudia Pina,Shot,,
07-07-2025,63,Aitana Bonmat?,Spain,0.16,0,Blocked,14,Right Foot,,Alexia Putellas,Shot,,
07-07-2025,65,Aitana Bonmat?,Spain,0.05,0,Blocked,16,Left Foot,,Aitana Bonmat?,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,67,Mariona Caldentey,Spain,0.06,0,Blocked,16,Right Foot,,Aitana Bonmat?,Pass (Live),Mariona Caldentey,Pass (Live)
07-07-2025,67,Patricia Guijarro,Spain,0.04,0,Blocked,29,Left Foot,,Claudia Pina,Pass (Live),Claudia Pina,Take-On
07-07-2025,68,Mariona Caldentey,Spain,0.04,0,Off Target,17,Right Foot,,Alexia Putellas,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,70,Alexia Putellas,Spain,0.17,0,Woodwork,10,Head,,Mariona Caldentey,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,72,Mariona Caldentey,Spain,0.13,0.81,Saved,10,Right Foot,,Olga Carmona,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,74,Athenea del Castillo,Spain,0.08,0,Blocked,9,Right Foot,,Claudia Pina,Pass (Live),Claudia Pina,Tackle
07-07-2025,76,Patricia Guijarro,Spain,0.02,0,Woodwork,24,Right Foot,,Alexia Putellas,Pass (Live),Patricia Guijarro,Pass (Live)
07-07-2025,77,Janice Cayman,Belgium,0.02,0.08,Saved,32,Left Foot,,Elena Dhont,Pass (Live),Jarne Teulings,Pass (Live)
07-07-2025,80,Claudia Pina,Spain,0.07,0.12,Saved,8,Left Foot,,Alexia Putellas,Pass (Live),Aitana Bonmat?,Pass (Live)
07-07-2025,81,Claudia Pina,Spain,0.02,0.54,Goal,25,Right Foot,,Alexia Putellas,Pass (Live),Aitana Bonmat?,Pass (Live)
07-07-2025,86,Leila Ouahabi,Spain,0.04,0,Off Target,22,Left Foot,,Athenea del Castillo,Pass (Live),Irene Paredes,Pass (Live)
07-07-2025,86,Alexia Putellas,Spain,0.08,0.32,Goal,10,Left Foot,,Leila Ouahabi,Shot,,
07-07-2025,90+2,Alexia Putellas,Spain,0.05,0,Off Target,24,Left Foot,,Ona Batlle,Pass (Live),Alexia Putellas,Pass (Live)
07-07-2025,90+3,Alexia Putellas,Spain,0.06,0,Off Target,21,Left Foot,,Aitana Bonmat?,Pass (Live),Patricia Guijarro,Pass (Live)
